id,name,bodyPart,target,equipment,secondaryMuscles,category,difficulty,instruction_count,gifUrl,source
1677,dumbbell seated bicep curl,upper arms,biceps,dumbbell,forearms,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1677-xiA6lRr.gif,github
0390,dumbbell seated biceps curl (on stability ball),upper arms,biceps,dumbbell,forearms,upper arms,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0390-WgJnBH5.gif,github
3547,dumbbell seated biceps curl to shoulder press,upper arms,biceps,dumbbell,shoulders,upper arms,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/3547-OeL23VY.gif,github
1379,dumbbell seated calf raise,lower legs,calves,dumbbell,hamstrings,lower legs,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1379-r29jP7S.gif,github
0391,dumbbell seated curl,upper arms,biceps,dumbbell,forearms,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0391-TiaZTxx.gif,github
0392,dumbbell seated front raise,shoulders,delts,dumbbell,trapezius; biceps,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0392-Ys97II0.gif,github
1678,dumbbell seated hammer curl,upper arms,biceps,dumbbell,forearms,upper arms,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1678-IGtBdNT.gif,github
0393,dumbbell seated inner biceps curl,upper arms,biceps,dumbbell,forearms,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0393-KXyoEtA.gif,github
0394,dumbbell seated kickback,upper arms,triceps,dumbbell,shoulders,upper arms,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0394-en550rk.gif,github
0396,dumbbell seated lateral raise,shoulders,delts,dumbbell,traps; upper back,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0396-hxyTtWj.gif,github
0395,dumbbell seated lateral raise v. 2,shoulders,delts,dumbbell,traps; triceps,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0395-hrrS0Ed.gif,github
0397,dumbbell seated neutral wrist curl,upper arms,biceps,dumbbell,forearms,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0397-uJmK7Z1.gif,github
1679,dumbbell seated one arm bicep curl on exercise ball with leg raised,upper arms,biceps,dumbbell,forearms; shoulders,upper arms,,8,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1679-84sESNy.gif,github
0398,dumbbell seated one arm kickback,upper arms,triceps,dumbbell,shoulders,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0398-VQ3sNCn.gif,github
0399,dumbbell seated one arm rotate,lower arms,forearms,dumbbell,shoulders; biceps,lower arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0399-7f2jsqP.gif,github
0400,dumbbell seated one leg calf raise,lower legs,calves,dumbbell,hamstrings; glutes,lower legs,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0400-Ia7tumC.gif,github
1380,dumbbell seated one leg calf raise - hammer grip,lower legs,calves,dumbbell,hamstrings; glutes,lower legs,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1380-FxhcxUW.gif,github
1381,dumbbell seated one leg calf raise - palm up,lower legs,calves,dumbbell,hamstrings; glutes,lower legs,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1381-VW88JNd.gif,github
0401,dumbbell seated palms up wrist curl,lower arms,forearms,dumbbell,biceps; shoulders,lower arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0401-2dImyQ8.gif,github
0402,dumbbell seated preacher curl,upper arms,biceps,dumbbell,forearms,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0402-7D5bgLT.gif,github
0403,dumbbell seated revers grip concentration curl,upper arms,biceps,dumbbell,forearms,upper arms,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0403-lyKCLmK.gif,github
1738,dumbbell seated reverse grip one arm overhead tricep extension,upper arms,triceps,dumbbell,shoulders,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1738-5fKX7wi.gif,github
0405,dumbbell seated shoulder press,shoulders,delts,dumbbell,triceps; upper back,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0405-znQUdHY.gif,github
0404,dumbbell seated shoulder press (parallel grip),shoulders,delts,dumbbell,triceps; upper back,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0404-f1jf47L.gif,github
2188,dumbbell seated triceps extension,upper arms,triceps,dumbbell,shoulders,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/2188-kont8Ut.gif,github
0406,dumbbell shrug,back,traps,dumbbell,shoulders,back,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0406-NJzBsGJ.gif,github
0407,dumbbell side bend,waist,abs,dumbbell,obliques,waist,,4,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0407-IpONWYv.gif,github
0408,dumbbell side lying one hand raise,shoulders,delts,dumbbell,trapezius; rhomboids,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0408-fTlkJop.gif,github
3664,dumbbell side plank with rear fly,back,upper back,dumbbell,shoulders; core,back,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/3664-X6ytgYZ.gif,github
3548,dumbbell single arm overhead carry,shoulders,delts,dumbbell,traps; core,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/3548-mWBtgmb.gif,github
0409,dumbbell single leg calf raise,lower legs,calves,dumbbell,ankles,lower legs,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0409-1kB3Wmk.gif,github
1757,dumbbell single leg deadlift,upper legs,glutes,dumbbell,hamstrings; lower back,upper legs,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1757-gKozT8X.gif,github
2805,dumbbell single leg deadlift with stepbox support,upper legs,glutes,dumbbell,hamstrings; lower back,upper legs,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/2805-daBmy1Y.gif,github
0410,dumbbell single leg split squat,upper legs,quads,dumbbell,glutes; hamstrings; calves,upper legs,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0410-qx4fgX7.gif,github
0411,dumbbell single leg squat,upper legs,glutes,dumbbell,quadriceps; hamstrings; calves,upper legs,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0411-H6ybluc.gif,github
0413,dumbbell squat,upper legs,glutes,dumbbell,quadriceps; hamstrings; calves,upper legs,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0413-HsvHqgf.gif,github
3560,dumbbell standing alternate hammer curl and press,upper arms,biceps,dumbbell,forearms; shoulders,upper arms,,11,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/3560-LeaZOIz.gif,github
0414,dumbbell standing alternate overhead press,shoulders,delts,dumbbell,triceps; core,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0414-bBi35y3.gif,github
0415,dumbbell standing alternate raise,shoulders,delts,dumbbell,traps; forearms,shoulders,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0415-SxHteRW.gif,github
1739,dumbbell standing alternating tricep kickback,upper arms,triceps,dumbbell,shoulders,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1739-Gi2BXfK.gif,github
2143,dumbbell standing around world,shoulders,delts,dumbbell,triceps; forearms,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/2143-RSOsp5d.gif,github
1740,dumbbell standing bent over one arm triceps extension,upper arms,triceps,dumbbell,shoulders; back,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1740-CJwa0vD.gif,github
1741,dumbbell standing bent over two arm triceps extension,upper arms,triceps,dumbbell,shoulders; back,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1741-3T12T87.gif,github
0416,dumbbell standing biceps curl,upper arms,biceps,dumbbell,forearms,upper arms,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0416-3s4NnTh.gif,github
0417,dumbbell standing calf raise,lower legs,calves,dumbbell,ankles,lower legs,,4,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0417-dPmaUaU.gif,github
0418,dumbbell standing concentration curl,upper arms,biceps,dumbbell,forearms,upper arms,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0418-7inpWch.gif,github
0419,dumbbell standing front raise above head,shoulders,delts,dumbbell,trapezius; biceps,shoulders,,4,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0419-laVRfDf.gif,github
2321,dumbbell standing inner biceps curl v. 2,upper arms,biceps,dumbbell,forearms,upper arms,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/2321-vKilzz3.gif,github
0420,dumbbell standing kickback,upper arms,triceps,dumbbell,shoulders,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0420-UmpPAAe.gif,github
0421,dumbbell standing one arm concentration curl,upper arms,biceps,dumbbell,forearms,upper arms,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0421-8fgqP5a.gif,github
0422,dumbbell standing one arm curl (over incline bench),upper arms,biceps,dumbbell,forearms,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0422-BIb1tGo.gif,github
1680,dumbbell standing one arm curl over incline bench,upper arms,biceps,dumbbell,forearms,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1680-EmlJR2y.gif,github
0423,dumbbell standing one arm extension,upper arms,triceps,dumbbell,shoulders,upper arms,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0423-BCUR88E.gif,github
0424,dumbbell standing one arm palm in press,shoulders,delts,dumbbell,triceps; core,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0424-ocYc6Db.gif,github
0425,dumbbell standing one arm reverse curl,upper arms,biceps,dumbbell,forearms,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0425-DU5Kkj2.gif,github
0426,dumbbell standing overhead press,shoulders,delts,dumbbell,triceps; upper back,shoulders,,4,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0426-A6wtbuL.gif,github
0427,dumbbell standing palms in press,shoulders,delts,dumbbell,triceps; chest,shoulders,,4,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0427-UilDHSs.gif,github
0428,dumbbell standing preacher curl,upper arms,biceps,dumbbell,forearms,upper arms,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0428-hq2hyDH.gif,github
0429,dumbbell standing reverse curl,upper arms,biceps,dumbbell,forearms,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0429-0IgNjSM.gif,github
0430,dumbbell standing triceps extension,upper arms,triceps,dumbbell,shoulders,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0430-PdmaD0N.gif,github
2293,dumbbell standing zottman preacher curl,upper arms,biceps,dumbbell,forearms,upper arms,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/2293-P2nRiUa.gif,github
1684,dumbbell step up single leg balance with bicep curl,upper arms,biceps,dumbbell,quadriceps; glutes; hamstrings,upper arms,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1684-76vfTdU.gif,github
0431,dumbbell step-up,upper legs,glutes,dumbbell,quadriceps; hamstrings; calves,upper legs,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0431-aXtJhlg.gif,github
